Country Code,Country Name,Metals_GDP_Norm,Oil_GDP_Norm,Natural Gas_GDP_Norm,Coal_GDP_Norm,Cluster,PC1,PC2
ALB,Albania,9.97570681473351e-06,0.0,0.0,8.708727436123312e-05,0,-0.4533215229879537,0.09549640654554915
DZA,Algeria,1.80661357579821e-07,0.09801783834145869,0.5459545777224861,0.0,1,1.1793586863792958,0.011927209126135506
AGO,Angola,1.0769093814101057e-11,0.24274353080055974,0.0,0.0,1,1.4570538829127968,0.04834505004305923
ARG,Argentina,4.956313696818672e-05,0.02646089879834457,0.14572095194493853,6.934012377595156e-06,0,-0.014450818447417342,0.07712898737149379
ARM,Armenia,0.00025898642792902485,0.0,0.0,0.0,0,-0.453306192725615,0.10951180170973185
AUS,Australia,0.008818825858126501,0.013071744984345624,0.3971245001978625,0.0395229461586259,0,-0.46888292798447967,-1.0982056013422612
AZE,Azerbaijan,2.3952813775560024e-05,0.1910098982357395,0.5708184747628426,0.0,1,1.949630057177383,-0.009259218490285888
BHR,Bahrain,0.0018355821602165933,0.0,0.7602946142563894,0.0,1,0.7352424900278425,0.08469189544572267
BGD,Bangladesh,0.0,0.0,0.0916394379828484,8.401132763595362e-05,0,-0.30879724076054627,0.08406203608014794
BOL,Bolivia,0.0006262975152764714,0.0,0.5133395253301137,0.0,0,0.3534119078555699,0.0629104564220149
BIH,Bosnia and Herzegovina,0.0023262631110770437,0.0,0.0,0.02778599596564622,0,-0.9525286290981405,-0.8728698236888771
BWA,Botswana,2.671853872711247e-09,0.0,0.0,0.005987252965203097,0,-0.5566054955563969,-0.13232295230675573
BRA,Brazil,0.0010945368823050195,0.0327028814771491,0.027747209626253117,0.00018118267349114876,0,-0.16066538159810165,0.12817950517358295
BRN,Brunei Darussalam,0.0,0.16763218912222763,1.708311803246914,0.0,3,3.558464680170793,-0.14356398706594645
BGR,Bulgaria,6.626553785481809e-05,0.0,0.0,0.018298823396897354,0,-0.7726508442095527,-0.6039746049244988
BFA,Burkina Faso,0.00021682984651891804,0.0,0.0,0.0,0,-0.4530505472019576,0.10770726441724937
CMR,Cameroon,7.216414639411063e-05,0.0,0.0,0.0,0,-0.4521732668953813,0.10151476393248017
CAN,Canada,0.00021334635541942395,0.10519292079205161,0.3163821756265937,0.0028528866726557026,1,0.8227453441070226,-0.06250641550113134
TCD,Chad,0.0,0.12329639755629214,0.0,0.0,0,0.5177932695056702,0.07298831938318669
CHL,Chile,0.0012686849149556117,0.0,0.0,0.000350435885238743,0,-0.4655672619105937,0.13922673677610797
CHN,China,0.000514475023910253,0.006278168323939548,0.02745812892069649,0.0171916191629888,0,-0.6633380040328414,-0.5467460038157896
COL,Colombia,3.4364223296430694e-06,0.04319028555503783,0.058587312917676986,0.011821871431127989,0,-0.22687542036996966,-0.3730659287939959
COD,"Congo, Dem. Rep.",0.0013356982555297484,0.0,0.0,7.707744451206587e-06,0,-0.4599705830586152,0.15530402898110623
COG,"Congo, Rep.",2.0875155196837867e-05,0.0,0.0,0.0,0,-0.4518622407026991,0.09931930846115264
CRI,Costa Rica,4.440116433092697e-09,0.0,0.0,0.0,0,-0.45173567671891846,0.0984259252117619
CIV,Cote d'Ivoire,2.4022854300403225e-08,0.0,0.0,0.0,0,-0.45173579547236353,0.09842676346238821
HRV,Croatia,1.2355855621987472e-05,0.0,0.0,0.0,0,-0.45181057805055425,0.09895463482599488
CYP,Cyprus,1.2996103653854125e-06,0.0,0.0,0.0,0,-0.4517435308775206,0.09848136573696986
CZE,Czechia,0.0,0.0,0.0,0.00926847620575276,0,-0.6140777999633099,-0.25878145012668835
DNK,Denmark,0.0,0.011326749034156171,0.03355200440360055,0.0,0,-0.3097959985373039,0.09201536783623447
DOM,Dominican Republic,9.263944002393295e-06,0.0,0.0,0.0,0,-0.45179182811071905,0.0988222837283492
ECU,Ecuador,3.1780671361407806e-06,0.0976291746831718,0.0,0.0,0,0.31594235119224484,0.07841979147848263
EGY,"Egypt, Arab Rep.",1.8768231221060355e-05,0.01748308592978555,0.1654719892233958,0.0,0,-0.05361410405191441,0.07553228845528011
GNQ,Equatorial Guinea,6.457488031752397e-10,0.18888600642545164,0.0,0.0,1,1.033550610204108,0.05945648247849123
SWZ,Eswatini,5.702446920772446e-11,0.0,0.0,0.0010447453003547197,0,-0.4700349039402416,0.05816124105598778
ETH,Ethiopia,1.1951708544666094e-09,0.0,0.0,9.013858399608505e-07,0,-0.451751445279724,0.09839104688876124
FIN,Finland,3.8601946072206794e-05,0.0,0.0,0.0,0,-0.4519697393324388,0.10007811418354862
FRA,France,1.624169452689103e-05,0.0,0.0,0.0,0,-0.45183414251637344,0.09912097044861717
GAB,Gabon,0.007093169433985203,0.22468761978649082,0.0,0.0,1,1.2720587005294048,0.3556974791543849
GEO,Georgia,2.0143835634078694e-05,0.0,0.0,2.771172223038083e-05,0,-0.4523431909765683,0.09821999378606402
DEU,Germany,1.1280364408879427e-05,0.0,0.004114973988231951,0.002915950992345388,0,-0.49639386711614697,-0.013971785861921071
GHA,Ghana,0.001552263587233219,0.0,0.0,0.0,0,-0.46114887127224824,0.1648712921004942
GRC,Greece,0.0005381493127453647,0.0,0.0,0.008608851817519143,0,-0.605787577681608,-0.21032371997330113
GTM,Guatemala,2.6917598165368504e-07,0.0,0.0,0.0,0,-0.4517372821275316,0.09843725738637066
GIN,Guinea,0.2137129944871715,0.0,0.0,0.0,2,-1.7477318753068851,9.246536315761258
HND,Honduras,7.305657200056878e-05,0.0,0.0,0.0,0,-0.4521786787339094,0.10155296473609736
HUN,Hungary,0.0,0.0,0.0,0.0021371844195851347,0,-0.4891695392787468,0.016058621722700846
IND,India,0.0003092665117490414,0.0033795660112407116,0.010174722870069298,0.00820236830043441,0,-0.5546711137002354,-0.20638785373691793
IDN,Indonesia,0.000575762436310474,0.008731343651563493,0.08049358223512643,0.018880588504794654,0,-0.5904266712545404,-0.6161605859289195
IRN,"Iran, Islamic Rep.",0.00015936107933392393,0.10005230932096013,0.6211738176507328,0.00012410602008243527,1,1.3107516237472605,0.004405906299958012
IRQ,Iraq,0.0,0.3703580582526092,0.08092736781279847,0.0,1,2.588067292304099,0.012191401639412923
IRL,Ireland,3.198341461318302e-05,0.0,0.0,0.0,0,-0.4519296032994853,0.09979480404691564
ISR,Israel,0.0,0.0,0.09333460447797266,0.0,0,-0.3046544126268561,0.08709402429055499
ITA,Italy,0.0,0.0012645858455631635,0.006270868528439901,0.0,0,-0.4319097636819387,0.09740349382201612
JAM,Jamaica,0.03030636942251929,0.0,0.0,0.0,0,-0.6355192352268296,1.3957077251353944
JPN,Japan,1.8527407393529194e-10,0.0,0.0,1.4367749608414027e-05,0,-0.4519873094755804,0.09787200983672556
KAZ,Kazakhstan,0.0010517714095793183,0.13722307197651212,0.23000010494084377,0.02271826672517262,1,0.5854493818519876,-0.7883496941075058
KEN,Kenya,2.1408393432756826e-09,0.0,0.0,0.0,0,-0.4517356627756651,0.09842582678985207
KOR,"Korea, Rep.",2.727937284148956e-07,0.0,0.0,4.8922495138785194e-05,0,-0.45259420684898083,0.09655193869070425
KWT,Kuwait,0.0,0.5452424833471369,0.23124040096410406,0.0,3,4.200124151912407,-0.04213863233374627
KGZ,Kyrgyz Republic,2.4758122337146868e-05,0.0,0.0,0.007463062371096647,0,-0.5826051816735339,-0.18814099305644666
LAO,Lao PDR,0.00025293086023006736,0.0,0.0,0.02739247112976892,0,-0.9330627573356861,-0.9464535796899054
LBR,Liberia,6.977737293821568e-08,0.0,0.0,0.0,0,-0.45173607293646256,0.09842872201150249
LBY,Libya,0.0,0.2789743414835791,0.3565660977721556,0.0,1,2.3038455533824327,-0.0024202927909915475
MDG,Madagascar,0.00012983808414010928,0.0,0.0,0.0,0,-0.45252301261771644,0.10398353080080158
MWI,Malawi,0.0,0.0,0.0,0.00020381006771675992,0,-0.4553054884468283,0.09057089267057482
MYS,Malaysia,0.0001821814456407276,0.026267048895779726,0.28851465265759463,0.0003705756069373819,0,0.20187257046130175,0.05149451739939245
MLI,Mali,1.405204138815863e-07,0.0,0.0,0.0,0,-0.45173650193571113,0.09843175020902933
MRT,Mauritania,0.0001138571896299212,0.0,0.0,0.0,0,-0.45242610143543094,0.10329945920044291
MEX,Mexico,6.495787737507229e-05,0.027407032195510526,0.05250291395662611,0.00038188638168834386,0,-0.1605693800095877,0.07445966019522199
MNG,Mongolia,0.001241050394314107,0.0,0.0,0.143132980889737,4,-2.9663097386531474,-5.364797189735406
MAR,Morocco,3.5586578081581764e-05,0.0,0.0,0.0,0,-0.4519514535677207,0.09994903958101607
MOZ,Mozambique,0.001893427763368652,0.0,0.0,0.02681706266819635,0,-0.9329324658724526,-0.854054894611813
MMR,Myanmar,0.00011275730115802765,0.0,0.25169513790471637,0.0007607039954429238,0,-0.06911003978735754,0.04337664715792219
NAM,Namibia,0.00028426804830170564,0.0,0.0,0.0,0,-0.45345950527760315,0.11059399635765815
NPL,Nepal,0.0,0.0,0.0,6.446387541608002e-06,0,-0.45184856160212955,0.09817729129599823
NLD,Netherlands,8.166030066220222e-06,0.0,0.09710211259187021,0.0,0,-0.2987669093325739,0.08698616461095732
NZL,New Zealand,0.00016854702459734194,0.0,0.0,0.0014473851386287593,0,-0.47810944962141794,0.04985824901119971
NIC,Nicaragua,7.553920744034552e-08,0.0,0.0,0.0,0,-0.4517361078773223,0.09842896865022138
NER,Niger,1.870332127843872e-08,0.0,0.0,0.0008040826533253807,0,-0.46581968639131355,0.06743718055434432
NGA,Nigeria,4.369632866894367e-06,0.07102591527576141,0.15921708902247278,0.00025307600323478356,0,0.3532123728843624,0.05487532008644259
MKD,North Macedonia,0.00023620085447125983,0.0,0.0,0.01465641977973139,0,-0.7098827827306525,-0.45632214408409966
NOR,Norway,0.0003876939867629531,0.18738843838968472,1.1545144112526307,3.164836899614356e-05,1,2.8382095563941214,-0.06502789632463851
OMN,Oman,0.0002526859510782087,0.22902821275212065,0.8241701821772914,0.0,1,2.6464402171523065,-0.03807107505020594
PAK,Pakistan,1.2122538769358139e-05,0.0,0.09096594963754466,0.0005645461718083042,0,-0.31834888614156953,0.06614289768015
PAN,Panama,0.00010589858863198538,0.0,0.0,0.0,0,-0.45237783896604555,0.1029587865980549
PNG,Papua New Guinea,0.0002813487945698096,0.0,0.0,0.0,0,-0.45344180236802145,0.11046903598257038
PER,Peru,0.0009661659559190178,0.012173856455054807,0.10866482240971748,4.1930556732545976e-05,0,-0.19136184891267455,0.1224624864549759
PHL,Philippines,4.993391339244803e-05,0.0,0.0,0.0013814789784735014,0,-0.4762357767149518,0.047320969148004405
POL,Poland,4.418847925640943e-05,0.0,0.010970274486192267,0.008902401229765529,0,-0.5906462795528259,-0.24411329815603972
PRT,Portugal,6.445190812733694e-05,0.0,0.0,0.0,0,-0.4521264984164314,0.10118463703187794
QAT,Qatar,0.0002718815430692599,0.2639164311439679,2.5637535229333333,0.0,3,5.661984392264743,-0.2556492264430813
ROU,Romania,4.988818728453271e-05,0.004682427965096799,0.057351122135376804,0.0037128617376482567,0,-0.3898743633003393,-0.05046151787836621
RUS,Russian Federation,0.00029691132814727554,0.10720377664759412,0.5935551058568161,0.011081847367114882,1,1.130698922985074,-0.41013991076548384
RWA,Rwanda,3.9268232331391125e-08,0.0,0.0,0.0,0,-0.45173588792323416,0.09842741604977256
SAU,Saudi Arabia,0.0003535863966523204,0.25458855762763405,0.22774462607405935,0.0,1,1.9069429810716438,0.033386393981913336
SEN,Senegal,3.086363297171308e-08,0.0,0.0,0.0,0,-0.45173583695614583,0.09842705628594765
SRB,Serbia,4.4170654610233416e-05,0.0,0.0,0.030560474603914745,0,-0.9872860136587743,-1.0774845755070022
SVK,Slovak Republic,9.739772468253828e-05,0.0,0.0,0.0007940199390725668,0,-0.4662339576486654,0.07199336403763285
SVN,Slovenia,8.299929185197691e-05,0.0,0.0,0.00391399148321428,0,-0.5207945566359969,-0.048866710474838156
ZAF,South Africa,0.0008534646701915572,0.0,0.0,0.031189816470429187,0,-1.0032169744168644,-1.0670971117531816
ESP,Spain,2.5610540213305042e-05,0.0,0.0,6.537109510205717e-06,0,-0.4520054578287191,0.09927006912562819
LKA,Sri Lanka,1.3451185760168959e-06,0.0,0.0,0.0,0,-0.451743806847961,0.09848331374272486
SDN,Sudan,2.9795343138124233e-08,0.013673333968492433,0.0,0.0,0,-0.3442169331829415,0.095606049945442
SWE,Sweden,9.765630868403415e-05,0.0,0.0,0.0,0,-0.45232785621357974,0.10260597095115824
TJK,Tajikistan,0.0006835023669106862,0.0,0.0,0.005922772579504804,0,-0.5596209603655073,-0.10058027051352707
TZA,Tanzania,6.237737180783438e-06,0.0,0.0,0.0004415177996429181,0,-0.4595068890295402,0.0816766438151255
THA,Thailand,1.441255567194514e-07,0.013140593791622211,0.0943195030858614,0.0010678918647905006,0,-0.21847816497390996,0.043113001781580534
TGO,Togo,4.710366359390015e-08,0.0,0.0,0.0,0,-0.45173593543877877,0.09842775145002187
TTO,Trinidad and Tobago,0.0,0.07857812871309297,3.145373991653976,0.0,3,5.122789882911849,-0.29966419663066424
TUN,Tunisia,0.0,0.010803826026579002,0.0,0.0,0,-0.36678084187142823,0.09619678588658727
TUR,Turkiye,0.00011196896243390371,0.0,0.0,0.003699760222780542,0,-0.517217862996411,-0.03937017129290598
UGA,Uganda,1.543447303743746e-10,0.0,0.0,0.0,0,-0.4517356507291841,0.09842574175678036
UKR,Ukraine,2.5858640054001766e-07,0.0,0.11625472423457175,0.004494231641385506,0,-0.34725612397519834,-0.088885369746974
ARE,United Arab Emirates,0.00039561757706473976,0.22125434466960325,0.2841147017994917,0.0,1,1.733398562454778,0.035218917011760546
GBR,United Kingdom,1.2600588399884077e-06,0.013001765432893895,0.04351079322744553,8.256167427137777e-05,0,-0.2823848790756952,0.08733271107660245
USA,United States,0.0002545167054545923,0.030077500659352704,0.15511145251130598,0.006161093176645668,0,-0.08025017554795898,-0.15316546461646155
URY,Uruguay,0.0,0.0,0.0,0.0,0,-0.45173564979320835,0.09842573514996326
UZB,Uzbekistan,7.859027348638194e-05,0.009241350328822517,0.810390002893052,0.0016425249424226666,1,0.8687387507698402,-0.06180875909053651
VEN,"Venezuela, RB",2.6571472572310064e-05,0.1702163420520534,0.393638334436578,0.0001744452143906559,1,1.5038414892240177,0.009931053891224432
VNM,Viet Nam,0.0004097986169310263,0.008726908468776929,0.03459613409405497,0.004690658697106399,0,-0.41323860240538357,-0.07081139539183143
YEM,"Yemen, Rep.",0.0,0.04926177939314352,0.0,0.0,0,-0.06437056302359216,0.08826248311121244
ZMB,Zambia,0.0012622281819318153,0.0,0.0,0.0005366214984711132,0,-0.4687892442801101,0.131774756726772
ZWE,Zimbabwe,0.00010045838227279516,0.0,0.0,0.007576752498048657,0,-0.5850555837626569,-0.18928221772175682
