Country Code,Country Name,Metals_GDP_Norm,Oil_GDP_Norm,Natural Gas_GDP_Norm,Coal_GDP_Norm,Economic Complexity Index,Human capital index,Cluster,PC1,PC2
ALB,Albania,9.97570681473351e-06,0.0,0.0,8.708727436123312e-05,-0.558,2.989798784,1,0.04574936442724469,-0.4074206926090187
DZA,Algeria,1.80661357579821e-07,0.09801783834145869,0.5459545777224861,0.0,-1.025,2.383965492,2,-0.9496704328819416,1.1768172225792326
AGO,Angola,1.0769093814101057e-11,0.24274353080055974,0.0,0.0,-1.204,1.481984377,2,-2.292114162135506,1.3435042307898604
ARG,Argentina,4.956313696818672e-05,0.02646089879834457,0.14572095194493853,6.934012377595156e-06,-0.203,3.09680438,1,0.3895832084681304,0.03102278919294935
ARM,Armenia,0.00025898642792902485,0.0,0.0,0.0,-0.124,3.145183325,1,0.5052781262098461,-0.4065698468793762
AUS,Australia,0.008818825858126501,0.013071744984345624,0.3971245001978625,0.0395229461586259,-0.377,3.549666166,1,0.8486631175718873,-0.2887479923693334
AZE,Azerbaijan,2.3952813775560024e-05,0.1910098982357395,0.5708184747628426,0.0,-0.827,3.351673290070797,2,0.06095932515670891,2.052074099028491
BHR,Bahrain,0.0018355821602165933,0.0,0.7602946142563894,0.0,0.492,2.756066084,1,0.6430406532582655,0.7212445745501639
BGD,Bangladesh,0.0,0.0,0.0916394379828484,8.401132763595362e-05,-1.18,2.101790428,0,-1.2869267335262122,-0.34212535957815093
BOL,Bolivia,0.0006262975152764714,0.0,0.5133395253301137,0.0,-0.964,2.966043711,1,-0.1830041102953315,0.41963768729805995
BIH,Bosnia and Herzegovina,0.0023262631110770437,0.0,0.0,0.02778599596564622,0.547,3.327295667731048,3,1.232774586758499,-0.8619879084199643
BWA,Botswana,2.671853872711247e-09,0.0,0.0,0.005987252965203097,-0.685,2.938816071,1,-0.07571532953442932,-0.5012137508738397
BRA,Brazil,0.0010945368823050195,0.0327028814771491,0.027747209626253117,0.00018118267349114876,-0.002,3.091373205,1,0.4875327076564748,-0.1253488230680584
BRN,Brunei Darussalam,0.0,0.16763218912222763,1.708311803246914,0.0,-0.273355295,2.81316185,4,0.10885012910857131,3.590580771472305
BGR,Bulgaria,6.626553785481809e-05,0.0,0.0,0.018298823396897354,0.535,3.186015129,1,1.0672057790422627,-0.7152498766022877
BFA,Burkina Faso,0.00021682984651891804,0.0,0.0,0.0,-0.884,1.286242485,0,-1.9385900769031226,-0.5965837012077339
CMR,Cameroon,7.216414639411063e-05,0.0,0.0,0.0,-1.346,1.895813227,0,-1.630466530035893,-0.5046740910064402
CAN,Canada,0.00021334635541942395,0.10519292079205161,0.3163821756265937,0.0028528866726557026,0.637,3.721065998,3,1.5442887100583957,0.913906815099361
TCD,Chad,0.0,0.12329639755629214,0.0,0.0,-1.845,1.6359205328081163,0,-2.4146354953142675,0.45138058848007545
CHL,Chile,0.0012686849149556117,0.0,0.0,0.000350435885238743,-0.413,3.145768881,1,0.29736648016788936,-0.40647556872966284
CHN,China,0.000514475023910253,0.006278168323939548,0.02745812892069649,0.0171916191629888,1.177,2.698987007,1,1.0001366658801787,-0.691397002667689
COL,Colombia,3.4364223296430694e-06,0.04319028555503783,0.058587312917676986,0.011821871431127989,1.3877787807814457e-17,2.598787069,1,0.01934803710100411,-0.2294606263624359
COD,"Congo, Dem. Rep.",0.0013356982555297484,0.0,0.0,7.707744451206587e-06,-1.095,1.803433776,0,-1.5619405396144521,-0.5335104246559781
COG,"Congo, Rep.",2.0875155196837867e-05,0.0,0.0,0.0,-1.084,2.164809227,0,-1.1706101247940286,-0.4829547402834071
CRI,Costa Rica,4.440116433092697e-09,0.0,0.0,0.0,0.169,2.694771767,1,0.2471097832748802,-0.470324438488102
CIV,Cote d'Ivoire,2.4022854300403225e-08,0.0,0.0,0.0,-1.1,1.695541859,0,-1.665150589121229,-0.5379424202982246
HRV,Croatia,1.2355855621987472e-05,0.0,0.0,0.0,0.7979999999999999,3.605145454,3,1.6226064981655424,-0.38756252863788876
CYP,Cyprus,1.2996103653854125e-06,0.0,0.0,0.0,0.49,2.904392004,1,0.6863576326162283,-0.4583538441221755
CZE,Czechia,0.0,0.0,0.0,0.00926847620575276,1.794,3.764699221,3,2.5101415012634183,-0.5545961950995582
DNK,Denmark,0.0,0.011326749034156171,0.03355200440360055,0.0,1.059,3.59926486,3,1.7880223618881255,-0.25659307829638556
DOM,Dominican Republic,9.263944002393295e-06,0.0,0.0,0.0,-0.27,2.767153978,1,0.016318989387440034,-0.4440989126012019
ECU,Ecuador,3.1780671361407806e-06,0.0976291746831718,0.0,0.0,-1.184,2.76246953,0,-0.758655404436787,0.35741423009799467
EGY,"Egypt, Arab Rep.",1.8768231221060355e-05,0.01748308592978555,0.1654719892233958,0.0,-0.144,2.676786423,1,0.013609692486308483,-0.05994156086979813
GNQ,Equatorial Guinea,6.457488031752397e-10,0.18888600642545164,0.0,0.0,-1.901,2.363182212925824,2,-1.7945169710811417,1.0541424295709254
SWZ,Eswatini,5.702446920772446e-11,0.0,0.0,0.0010447453003547197,0.036,1.82367444,0,-0.7396545973450522,-0.5849225849539167
ETH,Ethiopia,1.1951708544666094e-09,0.0,0.0,9.013858399608505e-07,-1.155,1.455194354,0,-1.951081707780724,-0.5642992204904368
FIN,Finland,3.8601946072206794e-05,0.0,0.0,0.0,1.441,3.50445199,3,1.965788697465705,-0.42558260569595796
FRA,France,1.624169452689103e-05,0.0,0.0,0.0,1.365,3.230137348,3,1.6304380772801688,-0.4549804963756992
GAB,Gabon,0.007093169433985203,0.22468761978649082,0.0,0.0,-1.243,2.876266956,2,-0.9184602427613442,1.3263906842501452
GEO,Georgia,2.0143835634078694e-05,0.0,0.0,2.771172223038083e-05,-0.102,3.1171106348062887,1,0.4937915546892112,-0.40978572085297876
DEU,Germany,1.1280364408879427e-05,0.0,0.004114973988231951,0.002915950992345388,2.072,3.675377846,3,2.5912110830106183,-0.4698999753102089
GHA,Ghana,0.001552263587233219,0.0,0.0,0.0,-0.994,2.526944876,0,-0.7479889159100467,-0.4527974931459628
GRC,Greece,0.0005381493127453647,0.0,0.0,0.008608851817519143,0.039,3.135317564,1,0.6342470771441132,-0.5515571779289047
GTM,Guatemala,2.6917598165368504e-07,0.0,0.0,0.0,-0.449,1.954362869,0,-0.9456921767179832,-0.5334104712792791
GIN,Guinea,0.2137129944871715,0.0,0.0,0.0,-1.386,2.1663807576460714,0,-3.2153462999557556,-1.7608914637941777
HND,Honduras,7.305657200056878e-05,0.0,0.0,0.0,-0.648,2.4374547,0,-0.5868735170943766,-0.4684344962142892
HUN,Hungary,0.0,0.0,0.0,0.0021371844195851347,1.446,3.417138577,3,1.886613779773266,-0.46957989677852496
IND,India,0.0003092665117490414,0.0033795660112407116,0.010174722870069298,0.00820236830043441,0.355,2.171164513,1,-0.1419387867329281,-0.6284008713885408
IDN,Indonesia,0.000575762436310474,0.008731343651563493,0.08049358223512643,0.018880588504794654,-0.135,2.288165092,1,-0.3253943600192044,-0.6108149968993083
IRN,"Iran, Islamic Rep.",0.00015936107933392393,0.10005230932096013,0.6211738176507328,0.00012410602008243527,0.004,2.517744303,2,-0.0876956072085485,1.2838499350750885
IRQ,Iraq,0.0,0.3703580582526092,0.08092736781279847,0.0,-1.575,2.288905859,2,-1.8812676732864804,2.5831939558501165
IRL,Ireland,3.198341461318302e-05,0.0,0.0,0.0,1.502,3.185516834,3,1.6795969762369853,-0.46589509351820413
ISR,Israel,0.0,0.0,0.09333460447797266,0.0,1.476,3.812638998,3,2.3232672088763464,-0.24179875764376593
ITA,Italy,0.0,0.0012645858455631635,0.006270868528439901,0.0,1.279,3.158385038,3,1.4961052867016662,-0.440065762728596
JAM,Jamaica,0.03030636942251929,0.0,0.0,0.0,-0.24,2.599545956,1,-0.3958953663275006,-0.6481581067056901
JPN,Japan,1.8527407393529194e-10,0.0,0.0,1.4367749608414027e-05,2.549,3.593987226,3,2.828995618550881,-0.45956275285700615
KAZ,Kazakhstan,0.0010517714095793183,0.13722307197651212,0.23000010494084377,0.02271826672517262,-0.23,3.454793215,1,0.6665214659834116,0.7130643766041653
KEN,Kenya,2.1408393432756826e-09,0.0,0.0,0.0,-0.436,2.346707344,0,-0.5323276646973392,-0.4873143709422313
KOR,"Korea, Rep.",2.727937284148956e-07,0.0,0.0,4.8922495138785194e-05,2.198,3.726922274,3,2.721996138636635,-0.43017652124561545
KWT,Kuwait,0.0,0.5452424833471369,0.23124040096410406,0.0,0.4189999999999999,2.236457825,4,-0.7651239364849661,4.106303655845622
KGZ,Kyrgyz Republic,2.4758122337146868e-05,0.0,0.0,0.007463062371096647,-0.268,3.378662109,1,0.6721782351252283,-0.4891357590970339
LAO,Lao PDR,0.00025293086023006736,0.0,0.0,0.02739247112976892,-0.805,1.943006754,0,-1.117492670794561,-0.9532995141201034
LBR,Liberia,6.977737293821568e-08,0.0,0.0,0.0,-0.849,1.959230781,0,-1.2188543665076836,-0.5167205822380061
LBY,Libya,0.0,0.2789743414835791,0.3565660977721556,0.0,-1.425,2.208262767,2,-1.6891835944599334,2.28938971602406
MDG,Madagascar,0.00012983808414010928,0.0,0.0,0.0,-1.494,1.720187426,0,-1.9148759264734048,-0.5199292491865396
MWI,Malawi,0.0,0.0,0.0,0.00020381006771675992,-1.2,2.039123058,0,-1.3799589185604917,-0.49630006733598453
MYS,Malaysia,0.0001821814456407276,0.026267048895779726,0.28851465265759463,0.0003705756069373819,1.2090000000000003,3.078611374,3,1.376401128217847,0.19089530410530084
MLI,Mali,1.405204138815863e-07,0.0,0.0,0.0,-0.351,1.380388618,0,-1.4690325090563112,-0.6055558979398662
MRT,Mauritania,0.0001138571896299212,0.0,0.0,0.0,-1.621,1.772524834,0,-1.9491257964635753,-0.5084990495029449
MEX,Mexico,6.495787737507229e-05,0.027407032195510526,0.05250291395662611,0.00038188638168834386,1.04,2.777052879,1,0.9091152272434793,-0.20377069537644482
MNG,Mongolia,0.001241050394314107,0.0,0.0,0.143132980889737,-1.332,2.815145731,1,-0.21491198353456062,-2.6569923060329645
MAR,Morocco,3.5586578081581764e-05,0.0,0.0,0.0,-0.689,1.935794353,0,-1.1320392670409056,-0.5261638468940457
MOZ,Mozambique,0.001893427763368652,0.0,0.0,0.02681706266819635,-1.334,1.228446841,0,-2.2377397823998924,-1.0177415343150051
MMR,Myanmar,0.00011275730115802765,0.0,0.25169513790471637,0.0007607039954429238,-1.344,1.843833327,0,-1.6394815268212324,-0.12312178659082414
NAM,Namibia,0.00028426804830170564,0.0,0.0,0.0,-0.522,2.251428366,0,-0.6927667538452109,-0.4968880514856527
NPL,Nepal,0.0,0.0,0.0,6.446387541608002e-06,-0.336,1.823577166,0,-1.0018609220910935,-0.5536013708129784
NLD,Netherlands,8.166030066220222e-06,0.0,0.09710211259187021,0.0,1.089,3.396878481,3,1.6262192866339134,-0.26967380398982316
NZL,New Zealand,0.00016854702459734194,0.0,0.0,0.0014473851386287593,0.131,3.40705514,1,0.9579983585161672,-0.40797079814148285
NIC,Nicaragua,7.553920744034552e-08,0.0,0.0,0.0,-1.044,2.28634882,0,-1.017363581352459,-0.4699989371949277
NER,Niger,1.870332127843872e-08,0.0,0.0,0.0008040826533253807,-0.62,1.224986911,0,-1.8136216403401997,-0.6258476882048163
NGA,Nigeria,4.369632866894367e-06,0.07102591527576141,0.15921708902247278,0.00025307600323478356,-1.529,1.974245191,0,-1.7474398373848716,0.31819597617423856
MKD,North Macedonia,0.00023620085447125983,0.0,0.0,0.01465641977973139,0.104,2.648384685653234,1,0.20004229627739314,-0.7054406329974499
NOR,Norway,0.0003876939867629531,0.18738843838968472,1.1545144112526307,3.164836899614356e-05,0.632,3.662843227,4,1.4933877926365327,2.926905390826816
OMN,Oman,0.0002526859510782087,0.22902821275212065,0.8241701821772914,0.0,-0.179,2.3964050286349243,2,-0.485891933383361,2.611744949928467
PAK,Pakistan,1.2122538769358139e-05,0.0,0.09096594963754466,0.0005645461718083042,-0.705,1.770269156,0,-1.296870095669019,-0.4093580712467655
PAN,Panama,0.00010589858863198538,0.0,0.0,0.0,0.3319999999999999,2.888246298,1,0.5589389369068486,-0.4545402780021735
PNG,Papua New Guinea,0.0002813487945698096,0.0,0.0,0.0,-1.409,2.7581676280295424,0,-0.7873985325634277,-0.400935497496261
PER,Peru,0.0009661659559190178,0.012173856455054807,0.10866482240971748,4.1930556732545976e-05,-0.744,2.838530064,1,-0.24692459657323185,-0.15483933054174465
PHL,Philippines,4.993391339244803e-05,0.0,0.0,0.0013814789784735014,0.611,2.714880228,1,0.5793138869763201,-0.5077928098056289
POL,Poland,4.418847925640943e-05,0.0,0.010970274486192267,0.008902401229765529,1.063,3.399794102,3,1.62593242348555,-0.5455789238873487
PRT,Portugal,6.445190812733694e-05,0.0,0.0,0.0,0.576,2.512750864,1,0.34202718412435196,-0.5087333751321375
QAT,Qatar,0.0002718815430692599,0.2639164311439679,2.5637535229333333,0.0,0.003,2.938780069,4,0.43486993778364263,5.707014997075951
ROU,Romania,4.988818728453271e-05,0.004682427965096799,0.057351122135376804,0.0037128617376482567,1.091,3.273047924,3,1.498861058636032,-0.3696639922139761
RUS,Russian Federation,0.00029691132814727554,0.10720377664759412,0.5935551058568161,0.011081847367114882,0.257,3.310307503,1,0.9253352869571012,1.2066061380925626
RWA,Rwanda,3.9268232331391125e-08,0.0,0.0,0.0,-0.746,1.788336515,0,-1.323333706394484,-0.5411743227473863
SAU,Saudi Arabia,0.0003535863966523204,0.25458855762763405,0.22774462607405935,0.0,0.7,2.839891434,2,0.44913642043605967,1.8808387203105925
SEN,Senegal,3.086363297171308e-08,0.0,0.0,0.0,-0.781,1.617536068,0,-1.5236887965511732,-0.5600590014303298
SRB,Serbia,4.4170654610233416e-05,0.0,0.0,0.030560474603914745,0.573,3.366787434,3,1.3202451408046676,-0.888253297668311
SVK,Slovak Republic,9.739772468253828e-05,0.0,0.0,0.0007940199390725668,1.348,3.782398939,3,2.1896369614859967,-0.40167005244377635
SVN,Slovenia,8.299929185197691e-05,0.0,0.0,0.00391399148321428,1.703,3.567204952,3,2.2250942143909316,-0.49058071439017376
ZAF,South Africa,0.0008534646701915572,0.0,0.0,0.031189816470429187,0.154,2.768338919,1,0.407239401305519,-0.9572818585879915
ESP,Spain,2.5610540213305042e-05,0.0,0.0,6.537109510205717e-06,0.633,2.985405207,1,0.8691058619696685,-0.45473707482339903
LKA,Sri Lanka,1.3451185760168959e-06,0.0,0.0,0.0,-0.643,2.90680933,1,-0.09909766643345297,-0.4124345161731735
SDN,Sudan,2.9795343138124233e-08,0.013673333968492433,0.0,0.0,-1.328,1.611784101,0,-1.9288732738202556,-0.4315395407366926
SWE,Sweden,9.765630868403415e-05,0.0,0.0,0.0,1.815,3.43598628,3,2.1548241872686886,-0.44913733835565123
TJK,Tajikistan,0.0006835023669106862,0.0,0.0,0.005922772579504804,-0.712,3.151337147,1,0.1184314921986085,-0.4779863492811366
TZA,Tanzania,6.237737180783438e-06,0.0,0.0,0.0004415177996429181,-0.924,1.7155940530000002,0,-1.5206952233091584,-0.5496385071697215
THA,Thailand,1.441255567194514e-07,0.013140593791622211,0.0943195030858614,0.0010678918647905006,1.043,2.76140666,1,0.9243576526385476,-0.26152128151419823
TGO,Togo,4.710366359390015e-08,0.0,0.0,0.0,-0.893,2.107893944,0,-1.096252697705572,-0.49728427017070115
TTO,Trinidad and Tobago,0.0,0.07857812871309297,3.145373991653976,0.0,0.055,3.08532095,4,0.9746149586197094,5.195687575018046
TUN,Tunisia,0.0,0.010803826026579002,0.0,0.0,0.136,2.6992414,1,0.21387568479909724,-0.38378345592520263
TUR,Turkiye,0.00011196896243390371,0.0,0.0,0.003699760222780542,0.531,2.514292002,1,0.32402085350869037,-0.5652852972219069
UGA,Uganda,1.543447303743746e-10,0.0,0.0,0.0,-0.754,2.43697238,0,-0.6604605718766139,-0.4637814606604859
UKR,Ukraine,2.5858640054001766e-07,0.0,0.11625472423457175,0.004494231641385506,0.3249999999999999,3.28966856,1,1.0023107457446947,-0.2919248731627149
ARE,United Arab Emirates,0.00039561757706473976,0.22125434466960325,0.2841147017994917,0.0,0.3329999999999999,3.238971949,2,0.6599373358678418,1.7711018877487474
GBR,United Kingdom,1.2600588399884077e-06,0.013001765432893895,0.04351079322744553,8.256167427137777e-05,1.709,3.773596048,3,2.419292269320095,-0.234409210586884
USA,United States,0.0002545167054545923,0.030077500659352704,0.15511145251130598,0.006161093176645668,1.597,3.749341488,3,2.328778652998438,-0.018815373237316396
URY,Uruguay,0.0,0.0,0.0,0.0,-0.042,2.776405811,1,0.18449569284125225,-0.4521265421223979
UZB,Uzbekistan,7.859027348638194e-05,0.009241350328822517,0.810390002893052,0.0016425249424226666,-0.69,2.3660742519214746,2,-0.5649776291239168,0.8593091578654092
VEN,"Venezuela, RB",2.6571472572310064e-05,0.1702163420520534,0.393638334436578,0.0001744452143906559,-1.277,2.893461704,2,-0.7238615355288359,1.5684081128578622
VNM,Viet Nam,0.0004097986169310263,0.008726908468776929,0.03459613409405497,0.004690658697106399,-0.057,2.601555586,1,-0.000682664446238358,-0.42524930910430636
YEM,"Yemen, Rep.",0.0,0.04926177939314352,0.0,0.0,-1.518,1.842988729,0,-1.871795857358333,-0.11747189627772699
ZMB,Zambia,0.0012622281819318153,0.0,0.0,0.0005366214984711132,-0.49,2.686845064,1,-0.22845151539941622,-0.460796217471929
ZWE,Zimbabwe,0.00010045838227279516,0.0,0.0,0.007576752498048657,-0.921,2.713407516,1,-0.46779215475575747,-0.5441281402901577
